Naam,Pesar,Dokhtar,Rate
ارسمان,1.0,,بسيار نادر
ارسن,1.0,,بسيار نادر
ارسيا,1.0,,بسيار نادر
ارسيما,1.0,,بسيار نادر
ارش,1.0,,معمولي
ارشا,1.0,1.0,بسيار نادر
ارشاد,1.0,,معمولي
ارشاسب,1.0,,معمولي
ارشاك,1.0,,بسيار نادر
ارشام,1.0,,معمولي
ارشامه,,1.0,بسيار نادر
ارشان,1.0,,بسيار نادر
ارشانوش,1.0,1.0,بسيار نادر
ارشاوير,1.0,,بسيار نادر
ارشز,1.0,,بسيار نادر
ارشك,1.0,,بسيار نادر
ارشن,1.0,,بسيار نادر
ارشنوش,,1.0,بسيار نادر
ارشوير,1.0,,بسيار نادر
ارشيا,1.0,1.0,معمولي
ارشيدا,,1.0,معمولي
ارشيز,1.0,,بسيار نادر
ارشين,,1.0,بسيار نادر
ارغان,1.0,,بسيار نادر
ارغش,1.0,,بسيار نادر
ارغنون,,1.0,معمولي
ارغوان,,1.0,معمولي
ارغون,1.0,1.0,بسيار نادر
ارفش,1.0,,بسيار نادر
ارفع,1.0,,بسيار نادر
اركان,1.0,,بسيار نادر
اركيده,,1.0,معمولي
اركين,1.0,,بسيار نادر
ارم,1.0,1.0,معمولي
ارماسب,1.0,,بسيار نادر
ارمان,1.0,,بسيار نادر
ارمانك,1.0,,بسيار نادر
ارمايل,1.0,,بسيار نادر
ارمغان,,1.0,معمولي
ارميا,1.0,,معمولي
ارميتا,,1.0,معمولي
ارميس,1.0,,معمولي
ارمين,1.0,,معمولي
ارناز,,1.0,معمولي
ارناك,1.0,,بسيار نادر
ارنواز,,1.0,معمولي
ارنوش,1.0,,معمولي
ارواد,1.0,,بسيار نادر
اروتَدنر,1.0,,بسيار نادر
اروس,,1.0,معمولي
اروشا,,1.0,معمولي
اروشه,,1.0,معمولي
ارون,,1.0,بسيار نادر
اروند,1.0,,معمولي
اروين,1.0,1.0,معمولي
اريا,1.0,,معمولي
ارياسب,1.0,,بسيار نادر
اريامن,1.0,,بسيار نادر
اريحا,,1.0,معمولي
اريديس,,1.0,بسيار نادر
اريس,1.0,,بسيار نادر
اريكا,,1.0,بسيار نادر
ارين,,1.0,بسيار نادر
ارينا,,1.0,بسيار نادر
ازدر,1.0,,بسيار نادر
اسامه,1.0,,معمولي
اسپاد,1.0,,بسيار نادر
اسپانتا,,1.0,بسيار نادر
اسپنتا,,1.0,بسيار نادر
اسپنتمان,1.0,,بسيار نادر
اسپندياد,1.0,,بسيار نادر
اسپنديار,1.0,,بسيار نادر
اسپنوي,,1.0,بسيار نادر
اسپهبُد,1.0,,بسيار نادر
اسپيتامن,1.0,,بسيار نادر
اسپيتمن,1.0,,بسيار نادر
استاسيس,1.0,,بسيار نادر
استر,,1.0,بسيار نادر
استرا,1.0,,بسيار نادر
اسحاق,1.0,,معمولي
اسحق,1.0,,معمولي
اسد,1.0,,معمولي
اسدالدين,1.0,,معمولي
اسدالله,1.0,,معمولي
اسرا,,1.0,پركاربرد
اسرافيل,1.0,,بسيار نادر
اسرين,,1.0,بسيار نادر
اسعد,1.0,,بسيار نادر
اسفار,1.0,,بسيار نادر
اسفند دخت,,1.0,بسيار نادر
اسفنديار,1.0,,معمولي
اسكندر,1.0,,معمولي
اسلام,1.0,,معمولي
اسما,,1.0,پركاربرد
اسماء,,1.0,پركاربرد
اسماعيل,1.0,,معمولي
اسمعيل,1.0,,معمولي
اسنا,,1.0,بسيار نادر
اشا,1.0,,بسيار نادر
اشااوني,,1.0,بسيار نادر
اشاداد,1.0,,بسيار نادر
اشتاد,1.0,,بسيار نادر
اشتار,,1.0,بسيار نادر
اشراق,1.0,,معمولي
اشرس,1.0,,بسيار نادر
اشرف,1.0,1.0,معمولي
اشرف الدين,1.0,,معمولي
اشعيا,1.0,,معمولي
اشك,,1.0,بسيار نادر
اشك ناز,1.0,,معمولي
اشكان,1.0,,پركاربرد
اشكبوس,1.0,,بسيار نادر
اشكش,1.0,,بسيار نادر
اشلي,,1.0,بسيار نادر
اشناس,1.0,,بسيار نادر
اشو,1.0,,بسيار نادر
اشوچهر,,1.0,بسيار نادر
اشودخت,,1.0,بسيار نادر
اشوروي,,1.0,بسيار نادر
اشوزاد,,1.0,بسيار نادر
اشوفْرَوَهَر,1.0,,بسيار نادر
اشومنش,1.0,,بسيار نادر
اشومهر,,1.0,بسيار نادر
اشير,1.0,,بسيار نادر
اصغر,1.0,,معمولي
اصلان,1.0,,معمولي
اصيل الدين,1.0,,بسيار نادر
اصيلا,,1.0,بسيار نادر
اطلس,,1.0,معمولي
اطلسي,,1.0,بسيار نادر
اطهر,,1.0,معمولي
اعتبارعلي,1.0,,بسيار نادر
اعتماد,1.0,,معمولي
اعظم,,1.0,معمولي
اعلا,1.0,,معمولي
اغريرث,1.0,,بسيار نادر
افتخارالدين,1.0,,بسيار نادر
افرا,,1.0,معمولي
افراسياب,1.0,,معمولي
افرود,1.0,,بسيار نادر
افروز,,1.0,معمولي
افروغ,1.0,1.0,معمولي
افريدون,1.0,,بسيار نادر
افرينا,,1.0,بسيار نادر
افسار,,1.0,بسيار نادر
افسانه,,1.0,بسيار نادر
افسر,,1.0,بسيار نادر
افسرخاتون,,1.0,بسيار نادر
افسردخت,,1.0,بسيار نادر
افسون,,1.0,بسيار نادر
افشار,1.0,,معمولي
افشان,,1.0,معمولي
افشيد,,1.0,بسيار نادر
افشين,1.0,1.0,معمولي
افضل,1.0,,معمولي
افضل الدين,1.0,,معمولي
افق,,1.0,بسيار نادر
افلاطون,1.0,,بسيار نادر
اقاقي,,1.0,بسيار نادر
اقاقيا,1.0,1.0,معمولي
اقبال,1.0,1.0,معمولي
اقبال علي,1.0,,بسيار نادر
اقدس,,1.0,معمولي
اقشين,1.0,,بسيار نادر
اقليما,,1.0,معمولي
اقليميا,,1.0,معمولي
اكبر,1.0,,معمولي
اكتاي,1.0,,بسيار نادر
اكدش,1.0,,بسيار نادر
اكرم,,1.0,معمولي
اكليا,1.0,,بسيار نادر
اكليل,,1.0,بسيار نادر
الارا,,1.0,بسيار نادر
الاهه,,1.0,معمولي
البتگين,1.0,,بسيار نادر
البرز,1.0,,معمولي
الچين,1.0,,بسيار نادر
الحان,,1.0,بسيار نادر
الدنيز,1.0,,بسيار نادر
السا,,1.0,بسيار نادر
الشن,1.0,,بسيار نادر
الكا,,1.0,بسيار نادر
الكوس,1.0,,بسيار نادر
الله نظر,,1.0,بسيار نادر
اللهيار,1.0,,معمولي
الما,,1.0,بسيار نادر
الماس,1.0,1.0,معمولي
الماس خاتون,,1.0,بسيار نادر
الميرا,,1.0,معمولي
المينا,,1.0,معمولي
النا,,1.0,پركاربرد
الناز,,1.0,پركاربرد
الوا,1.0,1.0,بسيار نادر
الوند,1.0,,معمولي
الهام,,1.0,پركاربرد
الهه,,1.0,پركاربرد
اليا,1.0,1.0,بسيار نادر
الياد,1.0,,بسيار نادر
اليار,1.0,,بسيار نادر
الياس,1.0,,معمولي
اليان,1.0,,بسيار نادر
اليزه,,1.0,بسيار نادر
اليسا,,1.0,بسيار نادر
اليكا,,1.0,بسيار نادر
اليما,,1.0,بسيار نادر
الين,,1.0,بسيار نادر
الينا,,1.0,پركاربرد
ام البنين,,1.0,معمولي
امام قلي,1.0,,بسيار نادر
امان,1.0,,معمولي
امان الله,1.0,,معمولي
اماندا,,1.0,معمولي
امانه,,1.0,معمولي
امرسان,1.0,,بسيار نادر
امل,,1.0,بسيار نادر
اميتيس,,1.0,بسيار نادر
اميد,1.0,,پركاربرد
اميدوار,1.0,,معمولي
اميده,,1.0,بسيار نادر
امير,1.0,,پركاربرد
امير ارسلان,1.0,,معمولي
اميرا,,1.0,بسيار نادر
اميرپارسا,1.0,,معمولي
اميرحافظ,1.0,,پركاربرد
اميرحسين,1.0,,پركاربرد
اميردخت,,1.0,معمولي
اميررضا,1.0,,پركاربرد
اميرطاها,1.0,,معمولي
اميرعباس,1.0,,پركاربرد
اميرعلي,1.0,,پركاربرد
اميركسري,1.0,,معمولي
اميرمحمد,1.0,,پركاربرد
اميرمهدي,1.0,,پركاربرد
اميرنظام,1.0,,معمولي
اميره,,1.0,معمولي
اميل,,1.0,بسيار نادر
اميله,,1.0,بسيار نادر
امين,1.0,,پركاربرد
امين الدين,1.0,,معمولي
امين الله,1.0,,معمولي
امين دخت,,1.0,معمولي
امينا,1.0,1.0,معمولي
امينه,,1.0,معمولي
انار,,1.0,معمولي
انارام,,1.0,بسيار نادر
انارگل,,1.0,معمولي
اندريمان,1.0,,بسيار نادر
اندمان,1.0,,بسيار نادر
اندي,1.0,,بسيار نادر
انديان,1.0,,بسيار نادر
انديشه,,1.0,معمولي
انسيه,,1.0,معمولي
انگاره,,1.0,معمولي
انگبين,,1.0,معمولي
انگيزه,,1.0,بسيار نادر
انوش,1.0,1.0,معمولي
انوش زاد,1.0,,بسيار نادر
انوشا,,1.0,معمولي
انوشتكين,1.0,,بسيار نادر
انوشروان,1.0,,معمولي
انوشك,,1.0,بسيار نادر
انوشكا,,1.0,بسيار نادر
انوشكزاد,,1.0,بسيار نادر
انوشه,,1.0,بسيار نادر
انوشه دخت,,1.0,بسيار نادر
انوشه روان,,1.0,بسيار نادر
انوشيروان,1.0,,معمولي
انيبا,,1.0,بسيار نادر
انيتا,,1.0,معمولي
انيران,,1.0,بسيار نادر
انيس,,1.0,معمولي
انيسا,,1.0,معمولي
انيسون,,1.0,بسيار نادر
انيسه,,1.0,معمولي
اوات,1.0,,بسيار نادر
اوتانا,1.0,,بسيار نادر
اوحد,1.0,,معمولي
اوحدالدين,1.0,,بسيار نادر
اوراشي,,1.0,بسيار نادر
اورامان,1.0,1.0,بسيار نادر
اوران,,1.0,بسيار نادر
اورانوس,,1.0,بسيار نادر
اورمزد,1.0,,بسيار نادر
اورمزديار,1.0,,بسيار نادر
اورند,1.0,,بسيار نادر
اورنينا,,1.0,بسيار نادر
اوريا,1.0,,بسيار نادر
اورياد,1.0,,بسيار نادر
اوريسا,,1.0,بسيار نادر
اورينا,,1.0,بسيار نادر
اوس,1.0,,بسيار نادر
اوستا,1.0,,بسيار نادر
اوستانَه,1.0,,بسيار نادر
اوشَه,1.0,,بسيار نادر
اوشهنگ,1.0,,بسيار نادر
اوشيدر,1.0,,بسيار نادر
اوكتاي,1.0,,بسيار نادر
اولاد,1.0,,بسيار نادر
اولدوز,,1.0,بسيار نادر
اويتا,,1.0,معمولي
اويس,1.0,,بسيار نادر
اويسا,,1.0,بسيار نادر
اوين,1.0,1.0,بسيار نادر
اوينار,,1.0,بسيار نادر
اهرن,1.0,,بسيار نادر
اهورا,1.0,,بسيار نادر
اهورا مزدا,1.0,,بسيار نادر
اهوراداد,1.0,,بسيار نادر
اهورامزد,1.0,,بسيار نادر
اياز,1.0,,معمولي
ايبك,1.0,,بسيار نادر
ايپك,,1.0,بسيار نادر
ايتكين,1.0,,بسيار نادر
ايثار,1.0,,معمولي
ايدا,,1.0,معمولي
ايدون,1.0,,بسيار نادر
ايده,,1.0,بسيار نادر
ايران,,1.0,معمولي
ايران پناه,1.0,,بسيار نادر
ايران ناز,,1.0,معمولي
ايرانا,,1.0,بسيار نادر
ايرانبانو,,1.0,بسيار نادر
ايرانپور,1.0,,بسيار نادر
ايراندخت,,1.0,معمولي
ايرانشاه,1.0,,بسيار نادر
ايرانشيد,,1.0,معمولي
ايرانمهر,1.0,1.0,معمولي
ايرانه,,1.0,معمولي
ايرج,1.0,,معمولي
ايرسا,,1.0,بسيار نادر
ايرن,,1.0,بسيار نادر
ايريك,1.0,,بسيار نادر
ايزد,1.0,,بسيار نادر
ايزد پناه,1.0,,بسيار نادر
ايزدبد,1.0,,بسيار نادر
ايزدچهر,,1.0,معمولي
ايزدداد,1.0,,بسيار نادر
ايزدگشسپ,1.0,,بسيار نادر
ايزديار,1.0,,بسيار نادر
ايسَدواستَر,1.0,,بسيار نادر
ايساتيس,1.0,1.0,بسيار نادر
ايسيه,,1.0,بسيار نادر
ايشا,1.0,,معمولي
ايشتار,,1.0,بسيار نادر
ايلا,1.0,,معمولي
ايلار,,1.0,معمولي
ايلانا,,1.0,معمولي
ايلدرم,1.0,,بسيار نادر
ايلديريم,1.0,,بسيار نادر
ايلقار,1.0,1.0,بسيار نادر
ايلكين,1.0,,بسيار نادر
ايلگار,1.0,,بسيار نادر
ايلماز,1.0,,معمولي
ايلناز,,1.0,معمولي
ايليا,1.0,,پركاربرد
ايليار,1.0,,معمولي
ايلياس,1.0,,بسيار نادر
ايليكا,,1.0,بسيار نادر
ايليم,,1.0,بسيار نادر
ايما,,1.0,معمولي
ايمان,1.0,,معمولي
ايمنه,,1.0,بسيار نادر
ايناز,,1.0,معمولي
ايناس,,1.0,بسيار نادر
ايواز,,1.0,بسيار نادر
ايوان,,1.0,بسيار نادر
ايوب,1.0,,معمولي
ائلمان,1.0,,بسيار نادر
ائيريا,1.0,,بسيار نادر
آباد,1.0,,بسيار نادر
آبادان,1.0,,بسيار نادر
آباديس,1.0,,بسيار نادر
آباريس,1.0,,بسيار نادر
آباقا,1.0,,بسيار نادر
آباگران,1.0,,بسيار نادر
آبان,1.0,,بسيار نادر
آبان آسا,,1.0,بسيار نادر
آبان دخت,,1.0,بسيار نادر
آبان ديس,,1.0,بسيار نادر
آبان زاد,1.0,,بسيار نادر
آبان سا,,1.0,بسيار نادر
آبان سار,1.0,1.0,بسيار نادر
آبان فام,,1.0,بسيار نادر
آبان مهر,,1.0,بسيار نادر
آبان ياد,1.0,,بسيار نادر
آبانداد,1.0,1.0,بسيار نادر
آبانك,,1.0,بسيار نادر
آبانه,,1.0,بسيار نادر
آبتاب,,1.0,بسيار نادر
آبتين,1.0,,معمولي
آبد,1.0,,بسيار نادر
آبدست,1.0,,بسيار نادر
آبدوس,1.0,,بسيار نادر
آبديس,,1.0,بسيار نادر
آبدين,1.0,,بسيار نادر
آبرام,1.0,,بسيار نادر
آبراهام,1.0,,بسيار نادر
آبرخ,,1.0,بسيار نادر
آبرلي,1.0,,بسيار نادر
آبرنگ,,1.0,بسيار نادر
آبرو,1.0,,بسيار نادر
آبرود,,1.0,بسيار نادر
آبروشن,,1.0,بسيار نادر
آبرون,,1.0,بسيار نادر
آبسال,1.0,1.0,بسيار نادر
آبسالان,,1.0,بسيار نادر
آبستا,1.0,,بسيار نادر
آبش,1.0,,بسيار نادر
آبشار,,1.0,معمولي
آبشن,,1.0,بسيار نادر
آبكار,1.0,,بسيار نادر
آبگل,,1.0,معمولي
آبگون,,1.0,بسيار نادر
آبگين,1.0,1.0,معمولي
آبگينه,,1.0,بسيار نادر
آبلاتكا,1.0,,بسيار نادر
آبلوج,,1.0,بسيار نادر
آبناز,,1.0,معمولي
آبنوس,,1.0,معمولي
آبنوش,,1.0,معمولي
آبو,1.0,,بسيار نادر
آبي,1.0,,بسيار نادر
آبيار,1.0,,بسيار نادر
آبيژ,,1.0,بسيار نادر
آپادا,1.0,,بسيار نادر
آپاداش,1.0,,بسيار نادر
آپاديپا,,1.0,بسيار نادر
آپاساي,1.0,,بسيار نادر
آپام,,1.0,بسيار نادر
آپاما,,1.0,بسيار نادر
آپامنه,,1.0,بسيار نادر
آپامه,,1.0,بسيار نادر
آپگيا,,1.0,بسيار نادر
آپگيتي,,1.0,بسيار نادر
آپنيتا,1.0,,بسيار نادر
آپيشن,,1.0,بسيار نادر
آتا,1.0,,معمولي
آتاباللي,1.0,,بسيار نادر
آتاباي,1.0,,بسيار نادر
آتابيك,1.0,,بسيار نادر
آتابيگ,1.0,,بسيار نادر
آتاقليچ,1.0,,بسيار نادر
آتاگلدي,1.0,,بسيار نادر
آتامكين,1.0,,بسيار نادر
آتان,1.0,,بسيار نادر
آتاناز,,1.0,معمولي
آتبين,1.0,1.0,بسيار نادر
آتجان,1.0,,بسيار نادر
آتر,,1.0,بسيار نادر
آترا,,1.0,بسيار نادر
آترابان,1.0,,بسيار نادر
آتربان,1.0,,بسيار نادر
آتردين,1.0,,بسيار نادر
آتروان,1.0,,بسيار نادر
آتروپات,1.0,,بسيار نادر
آترون,1.0,,بسيار نادر
آتري,,1.0,بسيار نادر
آتريسا,,1.0,بسيار نادر
آترين,1.0,1.0,بسيار نادر
آترينا,,1.0,بسيار نادر
آترينه,1.0,,بسيار نادر
آتسا,,1.0,معمولي
آتسز,1.0,,بسيار نادر
آتش,1.0,1.0,بسيار نادر
آتش برزين,1.0,,بسيار نادر
آتش پا,1.0,,بسيار نادر
آتشبان,1.0,,بسيار نادر
آتشبند,1.0,1.0,بسيار نادر
آتشپاره,,1.0,بسيار نادر
آتشدخت,,1.0,معمولي
آتشرخ,1.0,1.0,معمولي
آتشزاد,1.0,,معمولي
آتشفام,,1.0,بسيار نادر
آتشك,,1.0,بسيار نادر
آتشكار,1.0,,معمولي
آتشگون,,1.0,بسيار نادر
آتشه,,1.0,بسيار نادر
آتشي,,1.0,بسيار نادر
آتشيزه,,1.0,بسيار نادر
آتشين,,1.0,بسيار نادر
آتلاز,,1.0,بسيار نادر
آتمش,1.0,,بسيار نادر
آتنا,,1.0,پركاربرد
آتنايا,,1.0,بسيار نادر
آتنه,,1.0,بسيار نادر
آتور,,1.0,بسيار نادر
آتورپات,1.0,,بسيار نادر
آتورينا,,1.0,بسيار نادر
آتوسا,,1.0,معمولي
آتوشه,,1.0,بسيار نادر
آتيال,1.0,,بسيار نادر
آتيتي,1.0,,بسيار نادر
آتيجي,1.0,,بسيار نادر
آتيس,,1.0,بسيار نادر
آتيلا,1.0,,معمولي
آتين,1.0,,بسيار نادر
آتيه,,1.0,بسيار نادر
آثويه,1.0,,بسيار نادر
آجير,1.0,,بسيار نادر
آچيق,1.0,1.0,بسيار نادر
آچيم,1.0,,بسيار نادر
آخش,1.0,,بسيار نادر
آخشيج,1.0,,بسيار نادر
آدُر,1.0,,بسيار نادر
آدُرباد,1.0,,بسيار نادر
آدا,,1.0,بسيار نادر
آداد,1.0,,بسيار نادر
آدارايل,1.0,,بسيار نادر
آداش,1.0,,بسيار نادر
آدان,1.0,,بسيار نادر
آدبهاوا,1.0,,بسيار نادر
آدخ,1.0,,بسيار نادر
آدخت,,1.0,بسيار نادر
آدريان,1.0,,بسيار نادر
آدريانوس,1.0,,بسيار نادر
آدرين,1.0,,بسيار نادر
آدلي,1.0,,بسيار نادر
آدم,1.0,,بسيار نادر
آدنا,,1.0,معمولي
آدنيس,,1.0,معمولي
آدورا,1.0,,بسيار نادر
آدورينا,,1.0,بسيار نادر
آدونيس,,1.0,معمولي
آدهاوا,1.0,,بسيار نادر
آدي,1.0,,بسيار نادر
آديش,1.0,,بسيار نادر
آديشه,,1.0,بسيار نادر
آديگوزل,1.0,,بسيار نادر
آدين,1.0,,بسيار نادر
آدينگ,1.0,,بسيار نادر
آدينه,1.0,1.0,بسيار نادر
آذار,,1.0,بسيار نادر
آذر,,1.0,معمولي
آذر بُرزين,1.0,,بسيار نادر
آذرافروز,1.0,1.0,بسيار نادر
آذرافزا,1.0,1.0,بسيار نادر
آذران,1.0,,بسيار نادر
آذراوغلي,1.0,,بسيار نادر
آذرآباد,1.0,1.0,بسيار نادر
آذرآيين,1.0,,بسيار نادر
آذربُد,1.0,,معمولي
آذربابا,1.0,,بسيار نادر
آذرباد,1.0,,بسيار نادر
آذربان,1.0,,بسيار نادر
آذربانو,,1.0,معمولي
آذربو,,1.0,بسيار نادر
آذربود,1.0,,بسيار نادر
آذربويه,,1.0,بسيار نادر
آذربه,1.0,,بسيار نادر
آذربهرام,1.0,,بسيار نادر
آذرپَژوه,1.0,,بسيار نادر
آذرپاد,1.0,,بسيار نادر
آذرپناه,1.0,,بسيار نادر
آذرپي,1.0,,بسيار نادر
آذرتاش,1.0,,معمولي
آذرتوس,1.0,,بسيار نادر
آذرجوش,1.0,,بسيار نادر
آذرجهان,,1.0,بسيار نادر
آذرچهر,1.0,1.0,بسيار نادر
آذرخاتون,,1.0,بسيار نادر
آذرخش,1.0,1.0,بسيار نادر
آذرداد,1.0,,معمولي
آذردخت,,1.0,معمولي
آذرديس,1.0,1.0,بسيار نادر
آذررخ,1.0,1.0,معمولي
آذرشب,1.0,,بسيار نادر
آذرشسب,1.0,,بسيار نادر
آذرشست,1.0,1.0,بسيار نادر
آذرشن,1.0,,بسيار نادر
آذرطوس,1.0,,بسيار نادر
آذرفر,1.0,,بسيار نادر
آذرفرنبغ,1.0,,بسيار نادر
آذرفروز,1.0,1.0,بسيار نادر
آذرفزا,1.0,1.0,بسيار نادر
آذرك,,1.0,بسيار نادر
آذركار,1.0,,بسيار نادر
آذركيش,1.0,,بسيار نادر
آذركيوان,1.0,,بسيار نادر
آذرگشسب,1.0,,بسيار نادر
آذرگشسپ,1.0,,بسيار نادر
آذرگل,,1.0,معمولي
آذرگون,,1.0,بسيار نادر
آذرماه,,1.0,بسيار نادر
آذرماهان,1.0,,بسيار نادر
آذرمه,,1.0,معمولي
آذرمهر,1.0,1.0,معمولي
آذرمهربرزين,1.0,,بسيار نادر
آذرميدخت,,1.0,معمولي
آذرمينا,,1.0,معمولي
آذرنرسي,1.0,,بسيار نادر
آذرنگ,1.0,,بسيار نادر
آذرنوش,1.0,1.0,معمولي
آذروان,1.0,,بسيار نادر
آذرهمايون,,1.0,بسيار نادر
آذرين,1.0,1.0,بسيار نادر
آذريون,,1.0,بسيار نادر
آذين,1.0,1.0,معمولي
آذين دخت,,1.0,معمولي
آذين فر,1.0,,بسيار نادر
آذين گل,,1.0,معمولي
آرا,,1.0,بسيار نادر
آراج,1.0,,بسيار نادر
آراد,1.0,,بسيار نادر
آرارات,1.0,,بسيار نادر
آراز,1.0,,بسيار نادر
آرازش,1.0,,بسيار نادر
آراس,1.0,,بسيار نادر
آراسته,1.0,1.0,معمولي
آراستي,1.0,1.0,بسيار نادر
آراشيد,1.0,1.0,معمولي
آراگل,,1.0,معمولي
آراليا,,1.0,بسيار نادر
آرام,1.0,1.0,معمولي
آرام دخت,,1.0,معمولي
آرام دل,,1.0,معمولي
آرامش,,1.0,معمولي
آرامه,,1.0,بسيار نادر
آراميس,,1.0,معمولي
آران,1.0,,بسيار نادر
آرايه,,1.0,بسيار نادر
آرپان,1.0,,بسيار نادر
آرتا,1.0,1.0,بسيار نادر
آرتاباز,1.0,,بسيار نادر
آرتابان,1.0,,بسيار نادر
آرتاپارت,1.0,,بسيار نادر
آرتادخت,,1.0,معمولي
آرتان,1.0,,بسيار نادر
آرتمن,1.0,,بسيار نادر
آرتميس,1.0,1.0,بسيار نادر
آرتنوس,,1.0,بسيار نادر
آرتوان,1.0,,بسيار نادر
آرتونيس,,1.0,بسيار نادر
آرته دخت,,1.0,معمولي
آرتيستون,,1.0,بسيار نادر
آرتيمان,1.0,,بسيار نادر
آرتيميس,,1.0,بسيار نادر
آرتين,1.0,,پركاربرد
آرتينا,,1.0,معمولي
آرخا,1.0,,بسيار نادر
آردا,1.0,,بسيار نادر
آردين,1.0,,معمولي
آرزو,,1.0,پركاربرد
آرژان,1.0,1.0,معمولي
آرسام,1.0,,معمولي
آرسان,1.0,,معمولي
آرسن,1.0,,معمولي
آرسين,1.0,,معمولي
آرسينه,,1.0,بسيار نادر
آرش,1.0,,پركاربرد
